                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6002,                 2.3598,                 1.4228,                  0.529,                0.34537,                 0.3705,                0.19228,                 1.6316,                 2.3547,                 1.5379,             0.00066071,             0.00066071,             0.00066071
                      2,                 1.5932,                 1.7752,                 1.4021,                0.58489,                0.49573,                0.51801,                0.27602,                 1.6159,                 2.4781,                 1.5166,              0.0013142,              0.0013142,              0.0013142
                      3,                 1.6505,                  1.789,                 1.4493,                0.56887,                0.46684,                0.50401,                0.25553,                 1.6639,                 2.0781,                 1.5361,              0.0019546,              0.0019546,              0.0019546
                      4,                 1.6303,                 1.6892,                 1.4516,                0.60965,                0.47472,                0.52251,                0.26788,                 1.6724,                 1.9571,                 1.6072,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5901,                  1.595,                  1.427,                0.61539,                0.49048,                0.52615,                0.25843,                 1.6861,                 1.6805,                 1.5261,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6033,                 1.5665,                 1.4341,                0.65199,                0.53053,                0.57439,                0.30664,                 1.5847,                 1.5888,                 1.4505,               0.001901,               0.001901,               0.001901
                      7,                 1.5554,                 1.5283,                 1.3804,                 0.6466,                0.51538,                0.58194,                0.31238,                 1.6282,                 1.5724,                 1.4818,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5415,                 1.4351,                  1.376,                0.65986,                0.51332,                0.58408,                0.32343,                 1.5279,                 1.4968,                 1.4515,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4864,                 1.3843,                 1.3472,                0.63169,                0.55548,                0.58236,                0.33551,                 1.4844,                 1.4744,                 1.4107,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4955,                 1.4012,                 1.3623,                0.65739,                0.56946,                0.62715,                0.35512,                 1.4985,                 1.4599,                 1.3864,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4744,                 1.3319,                 1.3237,                0.68653,                 0.5565,                0.62172,                0.34921,                 1.5483,                 1.5031,                 1.4271,               0.001802,               0.001802,               0.001802
                     12,                 1.4737,                 1.3223,                 1.3242,                0.70688,                 0.5975,                0.67167,                0.37942,                 1.4726,                 1.3293,                 1.3876,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4755,                  1.303,                 1.3271,                0.69546,                0.56796,                0.63852,                0.37845,                 1.4431,                 1.3735,                 1.3521,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4355,                 1.2918,                 1.3083,                0.69227,                0.58963,                0.65719,                0.39219,                 1.4424,                 1.2935,                 1.3758,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4279,                 1.2549,                 1.2925,                 0.6928,                0.58043,                0.64509,                0.36387,                  1.523,                 1.3755,                  1.373,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4084,                 1.2482,                 1.2906,                0.72105,                0.58897,                0.67388,                0.39891,                 1.4177,                 1.2763,                 1.3642,               0.001703,               0.001703,               0.001703
                     17,                 1.4347,                 1.2624,                 1.3134,                0.72468,                0.58634,                0.66595,                0.37325,                 1.5005,                 1.3333,                 1.3916,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4186,                 1.2622,                 1.3088,                0.75573,                0.57452,                0.67053,                0.39503,                 1.4967,                 1.3176,                 1.3678,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3887,                  1.273,                 1.2868,                0.73125,                  0.587,                0.66884,                0.40001,                 1.4401,                 1.2883,                 1.3947,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3693,                 1.1859,                 1.2892,                 0.7114,                0.58105,                0.65017,                0.37434,                 1.4658,                 1.3513,                 1.3898,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3935,                 1.2269,                 1.2794,                0.72514,                0.56927,                0.65225,                0.40198,                 1.4287,                 1.3178,                 1.3817,               0.001604,               0.001604,               0.001604
                     22,                 1.3821,                 1.2079,                 1.2916,                0.72384,                0.58175,                0.65954,                0.38692,                 1.4419,                 1.3466,                 1.3924,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3887,                 1.1898,                 1.2998,                0.73265,                0.60407,                0.68024,                0.39098,                 1.4377,                 1.3018,                 1.3514,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3524,                 1.1622,                 1.2637,                0.71133,                0.60735,                 0.6793,                0.41135,                 1.4194,                 1.2444,                 1.3411,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3314,                 1.1495,                  1.258,                0.74117,                0.59357,                 0.6941,                0.41161,                 1.4023,                  1.217,                 1.3153,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3241,                 1.1175,                 1.2474,                0.74659,                0.60341,                0.69124,                0.40811,                  1.429,                 1.2153,                 1.3345,               0.001505,               0.001505,               0.001505
                     27,                 1.3656,                  1.139,                 1.2688,                 0.7582,                0.61392,                0.70113,                0.43061,                 1.3519,                  1.174,                 1.2854,              0.0014852,              0.0014852,              0.0014852
                     28,                  1.301,                 1.1022,                 1.2619,                0.70589,                0.59619,                0.66778,                0.40385,                 1.4081,                 1.2656,                 1.3431,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3437,                 1.1539,                 1.2623,                0.75566,                0.61786,                 0.7116,                0.43903,                 1.3372,                 1.1488,                 1.2902,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3053,                 1.1023,                 1.2549,                0.72704,                0.61458,                0.69389,                0.42441,                 1.3707,                 1.2057,                 1.3216,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3069,                 1.1041,                 1.2593,                0.72866,                 0.6277,                0.71459,                 0.4408,                 1.3569,                 1.1544,                 1.3043,               0.001406,               0.001406,               0.001406
                     32,                 1.3302,                 1.0972,                 1.2537,                0.74787,                0.65529,                 0.7289,                0.44661,                 1.3783,                 1.1373,                 1.3216,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2802,                 1.0546,                 1.2307,                0.73862,                0.63455,                0.72232,                0.44673,                  1.346,                 1.1295,                 1.2794,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3094,                 1.0725,                 1.2348,                0.74985,                0.64412,                0.72915,                0.44049,                 1.3874,                 1.1141,                 1.3012,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2863,                  1.044,                 1.2125,                0.77009,                0.62508,                0.72683,                0.44552,                 1.3288,                 1.0995,                 1.2707,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2886,                 1.0699,                 1.2279,                0.74097,                0.63165,                0.72089,                0.44679,                 1.3436,                 1.1133,                 1.2902,               0.001307,               0.001307,               0.001307
                     37,                 1.2676,                 1.0372,                 1.2186,                0.75267,                0.65141,                0.72369,                0.43991,                 1.3725,                  1.126,                 1.3105,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2788,                 1.0372,                 1.2174,                0.76654,                0.64084,                0.73024,                0.46024,                 1.3031,                 1.0621,                 1.2592,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2829,                 1.0237,                 1.2135,                0.74119,                0.63493,                0.71783,                0.45429,                 1.3115,                 1.0933,                 1.2635,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2735,                 1.0454,                 1.2119,                0.76498,                0.61553,                0.70762,                0.43906,                 1.3616,                 1.1333,                 1.2778,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2799,                 1.0393,                 1.2175,                0.74691,                0.66076,                0.73482,                0.44637,                  1.357,                  1.098,                 1.2977,               0.001208,               0.001208,               0.001208
                     42,                 1.2624,                  1.035,                    1.2,                0.74022,                0.63953,                0.72241,                0.45031,                 1.3331,                 1.0926,                 1.2686,              0.0011882,              0.0011882,              0.0011882
